drug_1,drug_2,similarity
TT-232,BIM 23060,0.7619
TT-232,VAPREOTIDE ACETATE,0.8058
TT-232,BIM 23127,0.7156
TT-232,CTOP,0.7664
TT-232,BIM 23023,0.9574
LL-37,PEPTIDE YY,0.7014
LL-37,AUNP-12,0.8049
LL-37,MOTILIN,0.7907
LL-37,BRIMAPITIDE,0.7742
LL-37,"BRIMAPITIDE, C-TERMINAL ACID",0.7742
LL-37,KASSININ,0.7016
LL-37,TIMBETASIN,0.7252
LL-37,UROCORTIN 3,0.7153
LL-37,DIAPEP 277,0.704
LL-37,HUMANIN,0.7786
LL-37,DIAPEP-277,0.704
AMILORIDE HYDROCHLORIDE,AMILORIDE,0.9643
ATUZABRUTINIB,RILZABRUTINIB,0.8222
CAFFEIC ACID PHENETHYL ESTER,BENZYL CAFFEATE,0.7561
DEBIO-1347,FGFR INHIBITOR DEBIO 1347,1.0
DEBIO-1347,ZOLIGRATINIB,1.0
L-LACTIC ACID,DL-LACTIC ACID,1.0
L-LACTIC ACID,D-LACTIC ACID,1.0
[3H]DIPRENORPHINE,BUPRENORPHINE,0.8788
[3H]DIPRENORPHINE,DIPRENORPHINE,1.0
[3H]DIPRENORPHINE,ORP-101,0.7297
METHYLCURCUMIN,DIMETHYLCURCUMIN,0.8649
GYROPHORIC ACID,LECANORIC ACID,1.0
GYROPHORIC ACID,ORSELLINIC ACID,0.7097
APTIGANEL,APTIGANEL HYDROCHLORIDE,0.9744
FLUNISOLIDE ANHYDROUS,FLURANDRENOLIDE,0.7015
FLUNISOLIDE ANHYDROUS,DESONIDE,0.7077
N-METHYL LTC4,LEUKOTRIENE D4,0.7206
N-METHYL LTC4,LTC4,0.8429
N-METHYL LTC4,LTD4,0.7206
PROPARACAINE,PROPARACAINE HYDROCHLORIDE,0.975
PROPARACAINE,BENOXINATE,0.7333
FLUPHENAZINE ENANTHATE,FLUPHENAZINE DECANOATE,1.0
GONADORELIN ACETATE,NAFARELIN,0.8934
GONADORELIN ACETATE,LEUPROLIDE ACETATE,0.8908
GONADORELIN ACETATE,GONADORELIN HYDROCHLORIDE,0.9655
GONADORELIN ACETATE,GONADORELIN,0.9739
GONADORELIN ACETATE,BUSERELIN,0.8125
GONADORELIN ACETATE,FERTIRELIN,0.9076
GONADORELIN ACETATE,[TRP8]GNRH,0.8621
GONADORELIN ACETATE,GOSERELIN ACETATE,0.8125
GONADORELIN ACETATE,[GLN8]GNRH,0.8644
GONADORELIN ACETATE,LEUPROLIDE MESYLATE,0.8443
GONADORELIN ACETATE,DESLORELIN,0.8655
GONADORELIN ACETATE,[SER8]GNRH,0.8621
GONADORELIN ACETATE,NAFARELIN ACETATE,0.918
GONADORELIN ACETATE,"[125I]GNRH I (HUMAN, MOUSE, RAT)",0.9739
GONADORELIN ACETATE,BUSERELIN ACETATE,0.8281
GONADORELIN ACETATE,LUTEINIZING HORMONE,1.0
GONADORELIN ACETATE,TRIPTORELIN,0.9391
GONADORELIN ACETATE,GNRH I,0.8696
GONADORELIN ACETATE,TRIPTORELIN PAMOATE,0.8527
GONADORELIN ACETATE,GNRH III,0.7154
ESOMEPRAZOLE SODIUM,OMEPRAZOLE MAGNESIUM,0.9583
ESOMEPRAZOLE SODIUM,ESOMEPRAZOLE STRONTIUM,0.9388
ESOMEPRAZOLE SODIUM,ESOMEPRAZOLE MAGNESIUM,0.9583
LYPRESSIN,TERLIPRESSIN,0.8173
LYPRESSIN,[PHE3]OT,0.8526
LYPRESSIN,ARGIPRESTOCIN,0.7664
LYPRESSIN,[VAL4]AVP,0.7596
LYPRESSIN,ARGIPRESSIN TANNATE,0.8763
LYPRESSIN,SELEPRESSIN,0.729
LYPRESSIN,DAVP,0.7692
N-ARACHIDONOYLGLYCINE,ARACHIDONIC ACID,0.7188
SB-242235,SB220025,0.7222
DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE,0.9111
PROPOXYCAINE HYDROCHLORIDE,PROPOXYCAINE,0.9744
PROPARACAINE HYDROCHLORIDE,BENOXINATE,0.7174
INDECAINIDE HYDROCHLORIDE,INDECAINIDE,0.973
GREPAFLOXACIN HYDROCHLORIDE,GREPAFLOXACIN,0.9808
CANGRELOR TETRASODIUM,CANGRELOR,0.7619
VK5211,LIGANDROL,1.0
AZD-7451,UTATRECTINIB,1.0
D-3263,TRPM8 AGONIST D-3263,1.0
LUNACALCIPOL,CTA018,1.0
INT131,AMG-131,1.0
RAF-265,B-RAF/VEGFR-2 INHIBITOR RAF265,1.0
RAF-265,CHIR-265,1.0
MK3207,MK-3207,1.0
SRX246,SRX-246,1.0
KETOPROFEN,DEXKETOPROFEN,1.0
DUVOGLUSTAT HYDROCHLORIDE,DUVOGLUSTAT,0.9524
ERTUGLIFLOZIN,HENAGLIFLOZIN,0.7581
FORODESINE HYDROCHLORIDE,FORODESINE,0.9744
OBATOCLAX MESYLATE,OBATOCLAX,0.898
ALPRENOLOL,OXPRENOLOL,0.7381
ALPRENOLOL,OXPRENOLOL HYDROCHLORIDE,0.7209
ALPRENOLOL,ALPRENOLOL HYDROCHLORIDE,0.9744
ICI-118551,ICI 118551,1.0
AMISELIMOD HYDROCHLORIDE,AMISELIMOD,0.9767
AMISELIMOD HYDROCHLORIDE,AMISELIMOD PHOSPHATE,0.7593
YTTRIUM Y 90 CLIVATUZUMAB TETRAXETAN,YTTRIUM Y 90 IBRITUMOMAB TIUXETAN,1.0
YTTRIUM Y 90 CLIVATUZUMAB TETRAXETAN,YTTRIUM Y 90 ANTI-CEA MONOCLONAL ANTIBODY CT84.66,1.0
YTTRIUM Y 90 CLIVATUZUMAB TETRAXETAN,YTTRIUM Y 90 EPRATUZUMAB,1.0
YTTRIUM Y 90 CLIVATUZUMAB TETRAXETAN,YTTRIUM Y 90 CAPROMAB PENDETIDE,1.0
YTTRIUM Y 90 CLIVATUZUMAB TETRAXETAN,YTTRIUM (90Y) CLIVATUZUMAB TETRAXETAN,1.0
YTTRIUM Y 90 CLIVATUZUMAB TETRAXETAN,YTTRIUM Y 90 LABETUZUMAB,1.0
YTTRIUM Y 90 CLIVATUZUMAB TETRAXETAN,YTTRIUM Y 90 EPRATUZUMAB TETRAXETAN,1.0
YTTRIUM Y 90 CLIVATUZUMAB TETRAXETAN,YTTRIUM Y 90 TACATUZUMAB TETRAXETAN,1.0
BB-10901,LORVOTUZUMAB MERTANSINE,1.0
BENZYDAMINE HYDROCHLORIDE,BENZYDAMINE,0.975
DIMETHINDENE,(S)-DIMETINDENE,1.0
ANGIOTENSIN II ACETATE,SARALASIN,0.7156
ANGIOTENSIN II ACETATE,ANGIOTENSIN-(1-7),0.8515
ANGIOTENSIN II ACETATE,ANGIOTENSIN IV,0.7451
ANGIOTENSIN II ACETATE,ACLERASTIDE,0.7981
ANGIOTENSIN II ACETATE,SARALASIN ACETATE,0.7273
ANGIOTENSIN II ACETATE,ANGIOTENSIN A,0.901
ANGIOTENSIN II ACETATE,ANGIOTENSIN III,0.91
ANGIOTENSIN II ACETATE,TXA127,0.8515
NITRENDIPINE,(S)-NITRENDIPINE,1.0
NITRENDIPINE,(R)-NITRENDIPINE,1.0
BDTX189,CANERTINIB,0.7059
BDTX189,TUXOBERTINIB,1.0
CIPROFLOXACIN,ENROFLOXACIN,0.7222
CIPROFLOXACIN,CIPROFLOXACIN HYDROCHLORIDE,0.9783
DAGLUTRIL,KC-12615,0.8209
APILIMOD MESYLATE,APILIMOD,0.9091
APILIMOD MESYLATE,APILIMOD DIMESYLATE CAPSULE,0.9091
PF-4136309,INCB8761,1.0
METFORMIN HYDROCHLORIDE,METFORMIN,0.9444
DIMETHYL YELLOW,METHYL YELLOW,1.0
CRYPTOCHINONE B,7-O-METHYLCRYPTOCHINONE A,0.7333
CRYPTOCHINONE B,CRYPTOCHINONE A,1.0
RUTIN,BIOFLAVONOID,1.0
RUTIN,HYPEROSIDE,0.75
RUTIN,ISOQUERCETIN,0.75
IODOQUINOL,CLIOQUINOL,0.7188
PRALIDOXIME CATION,PRALIDOXIME CHLORIDE,0.96
RAUWOLSCINE,YOHIMBINE HYDROCHLORIDE,0.9811
RAUWOLSCINE,CORYNANTHINE,1.0
RAUWOLSCINE,[3H]RAUWOLSCINE,1.0
PICLIDENOSON,AB-MECA,0.7313
PICLIDENOSON,[125I]AB-MECA,0.7794
DIMETHYLPHENYLPIPERAZINIUM IODIDE,DMPP,1.0
THEONELLASTEROL H,THEONELLASTEROL G,1.0
N-ACETYLCOLCHINOL,ZD-6126,0.7368
LITHOCHOLIC ACID,CHENODEOXYCHOLIC ACID,0.75
LITHOCHOLIC ACID,URSODIOL,0.75
LITHOCHOLIC ACID,HYODEOXYCHOLIC_ACID,0.7451
LITHOCHOLIC ACID,DEOXYCHOLIC ACID,0.7736
LITHOCHOLIC ACID,ATX-101,0.7736
GW631581B,GW627512B,0.7209
ISOTRETINOIN,ALL-TRANS-RETINAL,0.7674
ISOTRETINOIN,ALL-TRANS-4-OXO-RETINOIC ACID,0.7021
ISOTRETINOIN,13-CIS-RETINAL,0.7674
ISOTRETINOIN,RETINYLRETINOATE,0.7059
ISOTRETINOIN,11-CIS-RETINAL,0.7674
CARTEOLOL,CARTEOLOL HYDROCHLORIDE,0.9783
ALOSETRON HYDROCHLORIDE,ALOSETRON,0.9792
UCCF-029,ALPHA-NAPHTHOFLAVONE,0.7838
PREDNISOLONE,PREDNISOLONE ACETATE,0.7759
PREDNISOLONE,LOTEPREDNOL,0.7288
PREDNISOLONE,PREDNISOLONE SODIUM PHOSPHATE,0.7377
PREDNISOLONE,PREDNISOLONE TEBUTATE,0.7258
PREDNISOLONE,PREDNISOLONE HEMISUCCINATE,0.7143
SB-431542,D4476,0.8868
CHELERYTHRINE CHLORIDE,NITIDINE CHLORIDE,0.7292
GAMBOGIC AMIDE,DIMETHYL GAMBOGATE,0.7416
SILIBININ,SILYMARIN,1.0
SILIBININ,SILYBIN B,1.0
SILIBININ,SILYBIN,1.0
SILIBININ,ISOSILYBIN A,1.0
CARDAMOMIN,FLAVOKAWAIN B,0.825
FLUOCINOLONE ACETONIDE,FLUOCINONIDE,0.806
IMETIT DIHYDROBROMIDE,IMETIT,0.9655
IMETIT DIHYDROBROMIDE,VUF 8328,0.7879
LORATADINE,SCH 37370,0.7778
IMETIT,VUF 8328,0.8125
MP-412,AV-412,0.8625
U50488,TALACTOFERRIN ALFA,1.0
U50488,(-)-U-50488 METHANE SULFONATE,0.8936
U50488,(-)-U-50488,1.0
U50488,SPIRADOLINE,0.7407
FENOFIBRIC ACID,CLOFIBRIC ACID,0.8333
CEPHALEXIN ANHYDROUS,CEFADROXIL ANHYDROUS,0.8431
CEPHALEXIN ANHYDROUS,CEFACLOR ANHYDROUS,0.7885
TYRAMINE,[3H]TYRAMINE,1.0
ISOETHARINE MESYLATE,ISOETHARINE,0.8611
ISOETHARINE MESYLATE,ISOETHARINE HYDROCHLORIDE,0.8378
ABIETIC ACID,METHYL ABIETATE,0.7708
ISOCONAZOLE,TIOCONAZOLE,0.717
ISOCONAZOLE,ENILCONAZOLE,0.7
ISOCONAZOLE,ARASERTACONAZOLE,0.7193
DILTIAZEM HYDROCHLORIDE,L-(CIS)-DILTIAZEM,0.9815
DILTIAZEM HYDROCHLORIDE,DILTIAZEM MALATE,0.8154
OMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE STRONTIUM,0.9388
OMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,1.0
AESCULIOSIDE IIIB,AESCULIOSIDE IVA,0.83
AESCULIOSIDE IIIB,AESCULIOSIDE IIB,0.7426
AESCULIOSIDE IIIB,AESCULIOSIDE IID,0.7087
AESCULIOSIDE IIIB,AESCULIOSIDE IIIA,0.7075
AESCULIOSIDE IIIB,AESCULIOSIDE IIID,0.9231
AESCULIOSIDE IIIB,AESCULIOSIDE IIE,0.8936
AESCULIOSIDE IIIB,AESCULIOSIDE IIIC,0.83
AESCULIOSIDE IIIB,AESCULIOSIDE IIIE,0.9231
AESCULIOSIDE IIIB,AESCULIOSIDE IVC,0.7103
PRIDINOL METHANESULFONATE,PRIDINOL,0.8
METFORMIN,METFORMIN GLYCINATE,0.7083
AMPEROZIDE,AMPEROZIDE HYDROCHLORIDE,0.9762
MICONAZOLE NITRATE,SERTACONAZOLE NITRATE,0.7231
FENOLDOPAM BROMIDE,FENOLDOPAM MESYLATE,0.8222
FORMONONETIN,CALYCOSIN,0.7111
FORMONONETIN,CLADRIN,0.7273
AZELAIC ACID,MYRISTIC ACID,0.7059
AZELAIC ACID,UNDECANOIC ACID,0.7059
AZELAIC ACID,STEARIC ACID,0.7059
AZELAIC ACID,LAURIC ACID,0.7059
AZELAIC ACID,DECANOIC ACID,0.7059
HU-210,LENABASUM,0.7541
HU-210,DEXANABINOL,1.0
LABETALOL HYDROCHLORIDE,DILEVALOL HYDROCHLORIDE,1.0
CYSTAMINE HYDROCHLORIDE,CYSTAMINE DIHYDROCHLORIDE,1.0
CYSTAMINE HYDROCHLORIDE,CYSTAMINE,0.9091
DCMU,LINURON,0.7059
ISORHAMNETIN,QUERCETIN,0.7209
ISORHAMNETIN,GERALDOL,0.7021
ISORHAMNETIN,QUERCETIN-3'-O-PHOSPHATE,0.7292
ISORHAMNETIN,QUERCETIN DIHYDRATE,0.7045
ISORHAMNETIN,KAEMPFERIDE,0.7333
ISORHAMNETIN,TAMARIXETIN,0.8182
NETUPITANT,BEFETUPITANT,0.8226
RALOXIFENE HYDROCHLORIDE,RALOXIFEN,0.8036
ROPIVACAINE,BUPIVACAINE,0.8605
ROPIVACAINE,LEVOBUPIVACAINE HYDROCHLORIDE,0.8409
ROPIVACAINE,ROPIVACAINE HYDROCHLORIDE,0.975
ROPIVACAINE,BUPIVACAINE HYDROCHLORIDE,0.8409
AT9283,AT-9283,1.0
CLOMIPHENE CITRATE,CLOMIPHENE,0.75
CLOMIPHENE CITRATE,ENCLOMIPHENE,0.75
DRONABINOL,TETRAHYDROCANNABIVARIN,0.8571
HEXAMETHYLENE BISACETAMIDE,HEXAMETHYLENEBISACETAMIDE,1.0
ACITRETIN,ETRETINATE,0.7551
ACITRETIN,RETINOID X RECEPTOR AGONIST IRX4204,0.7551
RO 31-8220,RO31-8220,1.0
HYCANTHONE,LUCANTHONE,0.78
CYCLOSPORINE,VOCLOSPORIN,0.8701
CYCLOSPORINE,VALSPODAR,0.716
CYCLOSPORINE,ALISPORIVIR,0.7875
CYCLOSPORINE,CYCLOSPORIN H,1.0
BACLOFEN,ARBACLOFEN,1.0
HYDROXYCHLOROQUINE,CHLOROQUINE,0.86
HYDROXYCHLOROQUINE,HYDROXYCHLOROQUINE SULFATE,0.9074
ESTRONE,ESTRONE SULFATE,0.7
BENZPHETAMINE,BENZPHETAMINE HYDROCHLORIDE,0.96
ANTAZOLINE,ANTAZOLINE HYDROCHLORIDE,0.9688
ANTAZOLINE,ANTAZOLINE PHOSPHATE,0.8378
DICLOXACILLIN,OXACILLIN,0.7869
RIFAPENTINE,RIFAMPIN,0.8673
FLUVOXAMINE,FLUVOXAMINE MALEATE,0.8333
VITAMIN A,RETINYL ACETATE,0.7143
VITAMIN A,ALL-TRANS-RETINAL,0.7273
VITAMIN A,13-CIS-RETINAL,0.7273
VITAMIN A,11-CIS-RETINAL,0.7273
CETYLPYRIDINIUM BROMIDE,CETYLPYRIDINIUM CHLORIDE,0.9091
CETYLPYRIDINIUM BROMIDE,CETYLPYRIDINIUM,0.9524
MOTESANIB,MOTESANIB DIPHOSPHATE,0.9464
FLAVANONE,4'-HYDROXY-FLAVANONE,0.7879
RIVASTIGMINE,RIVASTIGMINE TARTRATE,0.8571
BMS-754807,DUAL IGF-1R/INSR INHIBITOR BMS-754807,1.0
DESMOSTEROL,CHOLESTEROL,0.7679
DESMOSTEROL,BETA-SITOSTEROL,0.7288
DESMOSTEROL,27-HYDROXYCHOLESTEROL,0.7288
DESMOSTEROL,"24(S), 25-EPOXYCHOLESTEROL",0.7288
DESMOSTEROL,24(S)-HYDROXYCHOLESTEROL,0.7544
TALAZOPARIB,TALAZOPARIB TOSYLATE,0.8125
CLORGYLINE HYDROCHLORIDE,CLORGILINE,0.973
METITEPINE,METHIOTHEPIN MESYLATE,0.8511
METITEPINE,CLOROTEPINE,0.7333
CANERTINIB,TUXOBERTINIB,0.7059
CANERTINIB,CANERTINIB DIHYDROCHLORIDE,0.9857
GENISTEIN,"5,7-DIHYDROXYISOFLAVONE",0.8056
GENISTEIN,BIOCHANIN A,0.75
GENISTEIN,PRUNETIN,0.725
NISOLDIPINE,ARANIDIPINE,0.75
DONEPEZIL,DONEPEZIL HYDROCHLORIDE,0.9792
LEUCOVORIN CALCIUM,LEVOLEUCOVORIN,0.7838
GRANISETRON,GRANISETRON HYDROCHLORIDE,0.9773
GW827102X,GW828525X,0.8507
GW827102X,GW827106X,0.7083
GW827102X,GW827099X,0.7536
GW501516,GW0742X,0.7778
DENUFOSOL,DIQUAFOSOL,0.7097
DENUFOSOL,URIDINE 5'-TRIPHOSPHATE,0.7031
DENUFOSOL,DENUFOSOL TETRASODIUM,0.8
PEPEROMIN E,"2,6-DIDEHYDROPEPEROMIN B",0.913
2-METHOXYESTRADIOL,2-HYDROXYESTRADIOL,0.7826
"3,5-DIIODO-L-TYROSINE",LEVOTHYROXINE,0.75
"3,5-DIIODO-L-TYROSINE",DEXTROTHYROXINE,0.75
"3,5-DIIODO-L-TYROSINE",[125I]THYROXINE,0.75
LANATOSIDE C,ACETYLDIGOXIN,0.7955
LANATOSIDE C,DESLANOSIDE,0.8824
PTC299,EMVODODSTAT,1.0
SIBUTRAMINE,SIBUTRAMINE HYDROCHLORIDE,0.9697
XL999,COMPOUND 8I [PMID: 22765894],1.0
METHYLBENZETHONIUM CHLORIDE,BENZETHONIUM CHLORIDE,0.7308
METHYLBENZETHONIUM CHLORIDE,METHYLBENZETHONIUM,0.9787
METHYLBENZETHONIUM CHLORIDE,BENZETHONIUM,0.7115
ACEBUTOLOL,ACEBUTOLOL HYDROCHLORIDE,0.9792
ATRACURIUM,ATRACURIUM BESYLATE,0.8226
ATRACURIUM,CISATRACURIUM BESYLATE,0.8226
CLENBUTEROL,CLENBUTEROL HYDROCHLORIDE,0.9677
CINACALCET,CINACALCET HYDROCHLORIDE,0.9767
BROMPHENIRAMINE,DEXBROMPHENIRAMINE MALEATE,0.814
BROMPHENIRAMINE,BROMPHENIRAMINE MALEATE,0.814
BROMPHENIRAMINE,PHENIRAMINE,0.8056
DIPHENIDOL,DIPHENIDOL HYDROCHLORIDE,0.9677
DIPHENIDOL,PRIDINOL,0.8125
IPRATROPIUM CATION,ATROPINE METHYLBROMIDE,0.7826
ORPHENADRINE,ORPHENADRINE CITRATE,0.7111
ORPHENADRINE,DIPHENHYDRAMINE,0.7273
ORPHENADRINE,DIPHENHYDRAMINE HYDROCHLORIDE,0.7059
NALIDIXIC ACID,NALIDIXATE SODIUM,0.7561
PROMETHAZINE HYDROCHLORIDE,PROFENAMINE,0.7143
PROMETHAZINE HYDROCHLORIDE,(S)-PROMETHAZINE,0.9667
CHENODEOXYCHOLIC ACID,URSODIOL,1.0
CHENODEOXYCHOLIC ACID,CHOLIC ACID,0.7778
CHENODEOXYCHOLIC ACID,GLYCOCHENODEOXYCHOLIC ACID,0.8148
LEVORPHANOL,DEXTRORPHAN,1.0
LEVORPHANOL,LEVORPHANOL TARTRATE,0.8163
MEPHENTERMINE,MEPHENTERMINE SULFATE,0.7778
ADAPALENE,AHPN,0.7174
FINGOLIMOD,FINGOLIMOD HYDROCHLORIDE,0.9667
FINGOLIMOD,ROME,0.7778
PENBUTOLOL,PENBUTOLOL SULFATE,0.8889
LANREOTIDE ACETATE,BIM 23060,0.7257
LANREOTIDE ACETATE,VAPREOTIDE ACETATE,0.7818
LANREOTIDE ACETATE,BIM 23127,0.8585
LANREOTIDE ACETATE,CTOP,0.7009
LANREOTIDE ACETATE,BIM 23023,0.8131
TALBUTAL,SECOBARBITAL,0.7576
TIMOLOL,TIMOLOL MALEATE,0.8431
TREPROSTINIL,TREPROSTINIL DIOLAMINE,0.871
CHRYSOERIOL,LUTEOLIN,0.7143
CHRYSOERIOL,ACACETIN,0.7273
CHRYSOERIOL,DIOSMETIN,0.814
TRIFLUPROMAZINE,PROMAZINE,0.7073
TRIFLUPROMAZINE,TRIFLUPROMAZINE HYDROCHLORIDE,0.9762
4-METHOXYDALBERGIONE,"DALBERGIONE, 4-METHOXY-4'-HYDROXY-",0.7436
4-METHOXYDALBERGIONE,"4,4'-DIMETHOXYDALBERGIONE",0.7632
"2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE","3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN",0.7
FLOXURIDINE,TRIFLURIDINE,0.7174
FLOXURIDINE,BROXURIDINE,0.7273
FLOXURIDINE,IDOXURIDINE,0.7273
FLOXURIDINE,THYMIDINE,0.7442
FLOXURIDINE,TELBIVUDINE,0.7442
SELICICLIB,(S)-ROSCOVITINE,1.0
SELICICLIB,(RS)-ROSCOVITINE,1.0
SELICICLIB,(2R)-2-({9-(1-METHYLETHYL)-6-[(4-PYRIDIN-2-YLBENZYL)AMINO]-9H-PURIN-2-YL}AMINO)BUTAN-1-OL,0.8
SELICICLIB,(S)-CR8,0.8
LEVDOBUTAMINE,DOBUTAMINE,1.0
LEVDOBUTAMINE,DOBUTAMINE HYDROCHLORIDE,0.9714
LEUKOTRIENE D4,[3H]LTC4,0.75
LEUKOTRIENE D4,LTC4,0.7879
LEUKOTRIENE D4,LTE4,0.8545
LEUKOTRIENE D4,LTD4,1.0
GDC-0623,MEK INHIBITOR GDC-0623,1.0
ALVOCIDIB HYDROCHLORIDE,RIVICICLIB,0.7097
MINOCYCLINE,MINOCYCLINE HYDROCHLORIDE,0.9825
NIGULDIPINE,MANIDIPINE,0.7083
NIGULDIPINE,DEXNIGULDIPINE,1.0
ZOTEPINE,NORZOTEPINE,0.7021
XANTHINE,XANTHINE OXIDASE INHIBITOR,1.0
EPHEDRINE,PSEUDOEPHEDRINE POLISTIREX,1.0
EPHEDRINE,EPHEDRINE HYDROCHLORIDE,0.9565
EPHEDRINE,PSEUDOEPHEDRINE,1.0
EPHEDRINE,PSEUDOEPHEDRINE SULFATE,0.8148
NEMONAPRIDE,[3H]NEMONAPRIDE,1.0
DOLASETRON,DOLASETRON MESYLATE,0.88
VICRIVIROC,VICRIVIROC MALEATE,0.9275
BERBAMINE,FANGCHINOLINE,0.7761
BERBAMINE,HERNANDEZINE,0.7286
BERBAMINE,AROMOLINE,0.8615
S-ETOMIDATE,AMIDATE,1.0
N-[2-(2-IODO-5-METHOXY-1H-INDOL-3-YL)ETHYL]ACETAMIDE,2-[125I]MELATONIN,1.0
EUGENOL,NATURAL CYTOTOXICITY TRIGGERING RECEPTOR 3 LIGAND 1,1.0
EUGENOL,METHYLEUGENOL,0.7097
CLANFENUR,DIFLUBENZURON,0.75
AMSACRINE HYDROCHLORIDE,AMSACRINE,0.9767
(+)-ALPHA-TOCOPHERYL SUCCINATE,ALPHA-TOCOPHEROL ACETATE,0.7679
ADP,ADENOSINE TRIPHOSPHATE,0.9804
ADP,DATP,0.7288
ADP,ITP,0.7
ADP,2-CHLOROADENOSINE-5-TRIPHOSPHATE,0.7333
ADP,A2P5P,0.7119
ADP,ADENOSINE-3'-5'-BISPHOSPHATE,0.7069
ADP,AP4A,0.7544
ADP,ADENOSINE MONOPHOSPHATE,0.8462
ADP,[33P]2MESADP,0.7097
ADP,AMP-PNP,0.8103
ADP,OAADPR,0.7344
ADP,ADP RIBOSE,0.7231
LEVOTHYROXINE,DEXTROTHYROXINE SODIUM,0.7619
LEVOTHYROXINE,DEXTROTHYROXINE,1.0
LEVOTHYROXINE,[125I]THYROXINE,1.0
LEVOTHYROXINE,RT3,0.7045
ANISODAMINE,SCOPOLAMINE,0.7234
ANISODAMINE,HYOSCYAMINE,0.7556
PIPERINE,ILEPCIMIDE,0.8293
METARAMINOL,METARAMINOL BITARTRATE,0.7812
TLC-388,LIPOTECAN,1.0
FANGCHINOLINE,CEPHARANTHINE,0.7761
FANGCHINOLINE,HERNANDEZINE,0.7353
FANGCHINOLINE,AROMOLINE,0.9032
ONONIN,WISTIN,0.807
OXIDOPAMINE HYDROCHLORIDE,OXIDOPAMINE,0.95
BRYOSTATIN,BYROSTATIN 1,0.8725
DOBUTAMINE,DOBUTAMINE HYDROCHLORIDE,0.9714
PEGAPTANIB,PEGNIVACOGIN,0.8478
PEGAPTANIB,PEGAPTANIB OCTASODIUM,1.0
LIOTHYRONINE SODIUM,DEXTROTHYROXINE SODIUM,0.7556
VABICASERIN,VABICASERIN HYDROCHLORIDE,0.9744
VOLINANSERIN,[11C]VOLINANSERIN,1.0
SOTAGLIFLOZIN,DAPAGLIFLOZIN PROPYLENE GLYCOL,0.7273
"[3H]GR 125,743",GR 127935,0.7015
"[3H]GR 125,743","GR 125,743",1.0
BENAZEPRIL,BENAZEPRIL HYDROCHLORIDE,0.9811
BENAZEPRIL,BENAZEPRILAT,0.8
DPCPX,[3H]DPCPX,1.0
DPCPX,APAXIFYLLINE,0.7674
DPCPX,CPFPX,0.8372
INDACATEROL,INDACATEROL MALEATE,0.8704
TERBUTALINE,TERBUTALINE SULFATE,0.8387
OLODATEROL,OLODATEROL HYDROCHLORIDE,0.9825
12-HYDROXYHEPTADECATRIENOIC ACID,8S-HETE,0.7805
12-HYDROXYHEPTADECATRIENOIC ACID,5S-HETE,0.8947
12-HYDROXYHEPTADECATRIENOIC ACID,15S-HETE,1.0
12-HYDROXYHEPTADECATRIENOIC ACID,5-OXO-15-HETE,0.7209
12-HYDROXYHEPTADECATRIENOIC ACID,12S-HETE,0.7805
12-HYDROXYHEPTADECATRIENOIC ACID,12R-HETE,0.7805
RONACALERET,SB-423562,0.7143
JD5037,IBIPINABANT,0.7188
N-OLEOYLDOPAMINE,NADA,0.8864
SINCALIDE,CCK-4,0.7037
CCK-33,EXENATIDE,0.7733
CCK-33,CCK-39,0.8204
CCK-33,TERIPARATIDE,0.7215
CCK-33,TERIPARATIDE ACETATE,0.7215
CCK-33,BIROPEPIMUT-S,0.716
CCK-33,AVEXITIDE,0.7365
CCK-33,EXENDIN-3,0.7102
CCK-33,LIXISENATIDE,0.7733
CCK-33,SERACTIDE ACETATE,0.711
OSAJIN,POMIFERIN,0.8167
ACETAMINOPHEN,ACETAMINOPHEN / CODEINE,1.0
(R)-ARN2508,(S)-ARN2508,1.0
FENOPROFEN,FENOPROFEN CALCIUM,0.7429
ETODOLAC,SDX-101,1.0
ASTRESSIN 2B,ASTRESSIN,0.7468
2-({6-[(3-CHLOROPHENYL)AMINO]-9-ISOPROPYL-9H-PURIN-2-YL}AMINO)ETHANOL,PURVALANOLA,0.7333
2-({6-[(3-CHLOROPHENYL)AMINO]-9-ISOPROPYL-9H-PURIN-2-YL}AMINO)ETHANOL,PURVALANOL A,0.7333
SKF-83566,SCH-23390,0.7333
SKF-83566,(+)-SCH-23390,0.7333
SKF-83566,[125I]SCH23982,0.7333
AZ5104,AUMOLERTINIB,0.7195
AZ5104,OSIMERTINIB MESYLATE,0.7284
AZ5104,BEFOTERTINIB,0.7108
EXAMPLE 10 [CN110740999A],BRIGATINIB,0.7671
EXAMPLE 10 [CN110740999A],NVP-TAE684,0.7733
DUAL SEH/FAAH INHIBITOR 11,PF3845,0.7857
CARBACYCLIN,EPOPROSTENOL,0.7119
CLOPROSTENOL,FLUPROSTENOL,0.7846
PIROTINIB,KBP5209,1.0
CLAZOSENTAN,TEZOSENTAN,0.84
APROCITENTAN,MACITENTAN,0.7143
22R-HYDROXYCHOLESTEROL,CHOLESTEROL,0.7368
